nome,dnasc,sexo,pelagem,meses informados,medidas
Begônia da Santalice,08-12-2018,F,pampa de preta,5,119.0
Begônia da Santalice,08-12-2018,F,pampa de preta,6,119.0
Begônia da Santalice,08-12-2018,F,pampa de preta,7,121.0
Begônia da Santalice,08-12-2018,F,pampa de preta,8,122.0
Begônia da Santalice,08-12-2018,F,pampa de preta,10,124.0
Begônia da Santalice,08-12-2018,F,pampa de preta,11,126.0
Begônia da Santalice,08-12-2018,F,pampa de preta,17,134.0
Begônia da Santalice,08-12-2018,F,pampa de preta,18,137.0
Begônia da Santalice,08-12-2018,F,pampa de preta,19,138.0
Begônia da Santalice,08-12-2018,F,pampa de preta,20,139.0
Begônia da Santalice,08-12-2018,F,pampa de preta,21,139.0
Begônia da Santalice,08-12-2018,F,pampa de preta,22,139.0

