,nome,dnasc,sexo,pelagem,meses informados,medidas
0,Gatuno do Amelo,21-4-2014,M,pampa de preta,22,143.0
1,Gatuno do Amelo,21-4-2014,M,pampa de preta,23,145.0
2,Gatuno do Amelo,21-4-2014,M,pampa de preta,24,146.0
3,Gatuno do Amelo,21-4-2014,M,pampa de preta,26,147.0
4,Gatuno do Amelo,21-4-2014,M,pampa de preta,27,147.0
5,Gatuno do Amelo,21-4-2014,M,pampa de preta,28,148.0
6,Gatuno do Amelo,21-4-2014,M,pampa de preta,29,148.0
7,Gatuno do Amelo,21-4-2014,M,pampa de preta,30,149.0
8,Gatuno do Amelo,21-4-2014,M,pampa de preta,32,150.0
9,Gatuno do Amelo,21-4-2014,M,pampa de preta,36,150.0
10,Gatuno do Amelo,21-4-2014,M,pampa de preta,48,150.0
